Class,Title,Units,Prereq,Coreq
Administration of Justice,Administration of Justice,Administration of Justice,Administration of Justice,Administration of Justice
ADJUS 120,Introduction to the Administration of Justice,3,N,N
ADJUS 121,Criminal Law,3,N,N
ADJUS 126,Leadership and Ethics,3,N,N
ADJUS 130,Cultural Diversity in Criminal Justice,3,N,N
,,,,
Anthropology,Anthropology,Anthropology,Anthropology,Anthropology
ANTHR 115,Primate Evolution and Adaptation,3,N,N
ANTHR 120,"Magic, Witchcraft, and Religion in the Americas",3,N,N
ANTHR 125,Introduction to Archaeology and Prehistory,3,N,N
ANTHR 130,Cultural Anthropology,3,N,N
ANTHR 135,Native Americans,3,N,N
ANTHR 140,Biological Anthropology,3,N,N
ANTHR 141L,Biological Anthropology Laboratory,1,N,ANTHR 140
,,,,
Arabic,Arabic,Arabic,Arabic,Arabic
ARABC 120,First Term Arabic,5,N,N
ARABC 121,Second Term Arabic,5,ARABC 120,N
,,,,
Architecture,Architecture,Architecture,Architecture,Architecture
ARCHI 119,Introduction to Technical Drawing,3,N,N
ARCHI 120,Introduction to Architecture and Environmental Design,3,N,N
ARCHI 121,Architectural Design I,4,ARCHI 120,N
ARCHI 126,Computer Aided Design and Drafting - AutoCAD,3,N,N
ARCHI 130,Architectural Graphics I,3,N,N
ARCHI 131,Architectural Graphics II,3,ARCHI 130,N
ARCHI 156,History of World Architecture: Early Civilizations to Middle Ages,3,N,N
ARCHI 157,History of World Architecture: Middle Ages to 18th Century,3,N,N
ARCHI 158,History of World Architecture: 18th Century to Present,3,N,N
ARCHI 160,History of American Architecture,3,N,N
ARCHI 220,Architectural Design II,4,ARCHI 121,N
ARCHI 221,Architectural Design III,4,ARCHI 220,N
ARCHI 226,"Computer Aided Drafting Design, Advanced Concepts - AutoCAD",3,ARCHI 126,N
,,,,
Architecture - Landscape Architecture,Architecture - Landscape Architecture,Architecture - Landscape Architecture,Architecture - Landscape Architecture,Architecture - Landscape Architecture
ARCLA 120,Introduction to Landscape Architecture and Environmental Design,3,N,N
ARCLA 121,Landscape Design,3,ARCLA 120,N
ARCLA 130,Landscape Drafting and Graphics,3,N,N
,,,,
Art,Art,Art,Art,Art
ART 101,Introduction to Two-Dimensional Design,3,N,N
ART 102,Introduction to Three-Dimensional Design and Sculpture,3,N,N
ART 103,Visual Theory and Practice - Color Theory,3,N,N
ART 105,Introduction to Drawing,3,N,N
ART 106,Drawing in Color,3,N,N
ART 107,Figure Drawing I,3,N,N
ART 108,Figure Drawing II,3,ART 107,N
ART 109,Monotype and Mixed Media,3,N,N
ART 110,Introduction to Printmaking,3,N,N
ART 111,Printmaking: Etching I,3,N,N
ART 112,Printmaking: Etching II,3,ART 111,N
ART 114,Printmaking: Woodblock I,3,N,N
ART 116,Printmaking: Screen Print,3,N,N
ART 120,Watercolor I,3,N,N
ART 121,Watercolor II,3,ART 120,N
ART 126,Painting I: Introduction to Painting,3,N,N
ART 127,Painting II: Intermediate Painting,3,ART 126,N
ART 128,Painting Concepts and Portfolio Development,3,N,N
ART 129,Advanced Painting,3,ART 127,N
ART 130,Figure Painting,3,ART 127,N
ART 131,Painting and Abstraction,3,ART 127,N
ART 138,Sculpture I,3,ART 102,N
ART 139,Sculpture II,3,N,N
ART 141,From Clay to Bronze,3,N,N
ART 151,Visual Theory and Practice - Ceramic Art,3,N,N
ART 152,Wheel-Thrown Pottery I,3,N,N
ART 153,Wheel-Thrown Pottery II,3,ART 152,N
ART 154,Hand-Built Ceramics I,3,N,N
ART 155,Ceramic Sculpture I,3,N,N
ART 156,Figurative Ceramics I,3,N,N
ART 160,Photography I,3,N,N
ART 161,Photography II,3,ART 160,N
ART 252,Wheel-Thrown Pottery III,3,ART 153,N
